Tên thuốc,Hoạt chất,Số đăng ký,Danh mục,Nhà sản xuất,Đơn vị,Đường dùng,Quy cách đóng gói,Giá (VNĐ),Hướng dẫn sử dụng,Trạng thái
Paracetamol 500mg,Paracetamol (500mg),VD-12345-16,Giảm đau - Hạ sốt,Hasan Dermapharm,Viên,Uống,Hộp 10 vỉ x 10 viên,2000,"Uống 1-2 viên mỗi 4-6 giờ, không quá 8 viên/ngày",Hoạt động
Amoxicillin 500mg,Amoxicillin (500mg),VD-12346-16,Kháng sinh,DHG Pharma,Viên,Uống,Hộp 10 vỉ x 10 viên,5000,"Uống 1 viên x 3 lần/ngày sau ăn, dùng đủ liệu trình",Hoạt động
Vitamin C 1000mg,Acid Ascorbic (1000mg),VD-12347-16,Vitamin & Khoáng chất,Traphaco,Viên,Uống,Hộp 6 vỉ x 10 viên,8000,Uống 1 viên/ngày sau ăn,Hoạt động
Ibuprofen 400mg,Ibuprofen (400mg),VD-12348-16,Giảm đau - Hạ sốt,Imexpharm,Viên,Uống,Hộp 10 vỉ x 10 viên,3500,"Uống 1 viên mỗi 6-8 giờ, không quá 3 viên/ngày",Hoạt động
Cetirizine 10mg,Cetirizine dihydrochloride (10mg),VD-12349-16,Kháng histamin,Pymepharco,Viên,Uống,Hộp 6 vỉ x 10 viên,2500,Uống 1 viên/ngày trước khi ngủ,Hoạt động
Omeprazole 20mg,Omeprazole (20mg),VD-12350-16,Tiêu hóa,Hau Giang Pharma,Viên,Uống,Hộp 3 vỉ x 10 viên,4000,"Uống 1 viên/ngày trước bữa sáng 30 phút, nuốt nguyên viên",Hoạt động
Metformin 500mg,Metformin HCL (500mg),VD-12351-16,Tiểu đường,Boston Pharma,Viên,Uống,Hộp 10 vỉ x 10 viên,3000,Uống 1-2 viên x 2 lần/ngày trong bữa ăn,Hoạt động
Atorvastatin 10mg,Atorvastatin (10mg),VD-12352-16,Tim mạch,Abbott,Viên,Uống,Hộp 3 vỉ x 10 viên,12000,Uống 1 viên/ngày vào buổi tối,Hoạt động
Amlodipine 5mg,Amlodipine besilate (5mg),VD-12353-16,Tim mạch,Sanofi,Viên,Uống,Hộp 3 vỉ x 10 viên,8000,Uống 1 viên/ngày vào cùng giờ,Hoạt động
Azithromycin 250mg,Azithromycin (250mg),VD-12354-16,Kháng sinh,Domesco,Viên,Uống,Hộp 2 vỉ x 3 viên,15000,"Uống 2 viên ngày đầu, sau đó 1 viên/ngày x 4 ngày",Hoạt động
